activity,t_start,t_end,duration_sec
brush teeth,1741700301.515,1741700360.233,58.71799993515015
rinse mouth,1741700360.73,1741700376.532,15.802000045776367
brush teeth,1741947901.015,1741947969.972,68.95699977874756
rinse mouth,1741947970.949,1741947992.018,21.069000005722046
