activity,t_start,t_end,duration_sec
turn over (right),1741699829.276,1741699913.438,84.16199994087219
turn over (left),1741699913.885,1741699979.411,65.52600002288818
lying to sit,1741699979.909,1741699990.626,10.717000007629395
turn over (right),1741947484.647,1741947557.197,72.54999995231628
turn over (left),1741947557.761,1741947625.108,67.34700012207031
