activity_idx,activity_name,hr_differential,activity_t_start,activity_t_end,baseline_t_start,baseline_t_end
0,turn over (right),-14.119837403419496,1741699829.276,1741699913.438,1741699772.876,1741699828.646
1,turn over (left),-16.7531114524433,1741699913.885,1741699979.411,1741699772.876,1741699828.646
2,lying to sit,-8.077289959642897,1741699979.909,1741699990.626,1741699772.876,1741699828.646
3,turn over (right),1.7637037291639217,1741947484.647,1741947557.197,1741947415.027,1741947484.117
4,turn over (left),3.2207708614186714,1741947557.761,1741947625.108,1741947415.027,1741947484.117
