activity_idx,activity_type,activity_name,activity_t_start,activity_t_end,activity_duration_sec,baseline_t_start,baseline_t_end,baseline_duration_sec,time_gap_sec,delta_mean_hr,pct_mean_hr,delta_rmssd,pct_rmssd,delta_sdnn,pct_sdnn,delta_stress_index,pct_stress_index,delta_mean_rr_ms,pct_mean_rr_ms,delta_n_beats,pct_n_beats
0,bed_transfer,turn over (right),1741699829.276,1741699913.438,84.16199994087219,1741699772.876,1741699828.646,55.769999980926514,0.630000114440918,-14.119837403419496,-18.617439120188536,-1385.21312137767,-48.09289482223416,-1081.4810274217596,-49.09415500471572,-15.442307692307692,-51.40845070422535,-421.3271103896104,-21.84659090909091,23.0,121.05263157894737
1,bed_transfer,turn over (left),1741699913.885,1741699979.411,65.52600002288818,1741699772.876,1741699828.646,55.769999980926514,85.23900008201599,-16.7531114524433,-22.089491799959504,-1644.2741941530726,-57.08717644810515,-1281.7166141943928,-58.183909411144306,-17.279202279202277,-57.523592734860344,-564.6108307453417,-29.276117149758456,19.0,100.0
2,bed_transfer,lying to sit,1741699979.909,1741699990.626,10.717000007629395,1741699772.876,1741699828.646,55.769999980926514,151.2630000114441,-8.077289959642897,-10.650154798761607,-2354.884909961519,-81.75870596764862,-1834.9779816496691,-83.29937481761938,,,-1043.154761904762,-54.089506172839506,-10.0,-52.63157894736842
3,bed_transfer,turn over (right),1741947484.647,1741947557.197,72.54999995231628,1741947415.027,1741947484.117,69.09000015258789,0.5299999713897705,1.7637037291639217,2.0725815306906763,124.96560826197177,1188.7706012175713,104.42901589161089,270.1395066932968,-170.4409937888199,-84.22264168316377,-14.316595873786355,-2.03049780813812,7.0,7.291666666666667
4,bed_transfer,turn over (left),1741947557.761,1741947625.108,67.34700012207031,1741947415.027,1741947484.117,69.09000015258789,73.64399981498718,3.2207708614186714,3.784825133372853,112.80567217266992,1073.0957788669045,54.96305992239799,142.1797741463105,-156.92219679633868,-77.54238965121473,-25.712789948453633,-3.6468001256532574,1.0,1.0416666666666665
