activity_idx,activity_name,propulsion_t_start,propulsion_t_end,propulsion_duration_sec,baseline_t_start,baseline_t_end,baseline_duration_sec,time_gap_sec,delta_mean_hr,pct_mean_hr,delta_rmssd,pct_rmssd,delta_sdnn,pct_sdnn,delta_stress_index,pct_stress_index,delta_mean_rr_ms,pct_mean_rr_ms,delta_n_beats,pct_n_beats
0,level walking,1741700911.087,1741700948.933,37.84600019454956,1741699772.876,1741699828.646,55.769999980926514,1082.4409999847412,-19.90269386930995,-26.242312914303966,-1792.7773628858606,-62.24302370685145,-1361.9968986412864,-61.82825695726305,-6.876625789669266,-22.892736303636482,-604.3526785714287,-31.336805555555557,5.0,26.31578947368421
1,slope walking,1741700963.626,1741701004.82,41.194000005722046,1741699772.876,1741699828.646,55.769999980926514,1134.9800000190735,-20.329739399506835,-26.80538555691554,-2055.0942594455705,-71.35034352764129,-1507.995065586025,-68.45588745345121,-17.038461538461537,-56.72215108834827,-605.1897321428573,-31.380208333333343,4.0,21.052631578947366
2,level walking,1741948660.513,1741948713.146,52.632999897003174,1741947415.027,1741947484.117,69.09000015258789,1176.3959999084473,18.46668345504912,21.700757575757596,-1.542476559675901,-14.673243404424968,-19.670022121103155,-50.88288946394165,198.01932367149755,97.8503479309151,-125.72419241573039,-17.83124280245262,-7.0,-7.291666666666667
3,slope walking,1741948720.303,1741948763.037,42.73399996757507,1741947415.027,1741947484.117,69.09000015258789,1236.1859998703003,21.38983742305973,25.135844107176315,5.35179700772108,50.91047877049403,-24.494655804250108,-63.3633686872059,70.82274247491637,34.99673599576918,-141.62795608108104,-20.086845848618694,-22.0,-22.916666666666664
