activity_idx,activity_name,hr_differential,activity_t_start,activity_t_end,baseline_t_start,baseline_t_end
1,sit to stand,-22.87647860061653,1741699991.305,1741700004.853,1741699772.876,1741699828.646
2,stand to sit,1.5383568028404397,1741700019.944,1741700024.564,1741699772.876,1741699828.646
3,sit to lying,23.73661031683723,1741947409.543,1741947415.443,1741699772.876,1741699828.646
4,sit to stand,,1741947633.326,1741947637.301,1741947415.027,1741947484.117
5,stand to sit,17.99029541356039,1741947687.158,1741947691.266,1741947415.027,1741947484.117
