activity_idx,activity_name,hr_differential,activity_t_start,activity_t_end,baseline_t_start,baseline_t_end
0,sit to stand,-22.87647860061653,1741699991.305,1741700004.853,1741699772.876,1741699828.646
1,stand,-19.295811103040016,1741699999.488,1741700021.069,1741699772.876,1741699828.646
2,stand,-17.47594137714467,1741700026.304,1741700052.31,1741699772.876,1741699828.646
3,stand,13.224526465523695,1741947636.803,1741947659.529,1741947415.027,1741947484.117
4,stand,16.092236280601938,1741947666.205,1741947690.007,1741947415.027,1741947484.117
