activity_idx,activity_name,hr_differential,activity_t_start,activity_t_end,baseline_t_start,baseline_t_end
0,brush teeth,-15.737648015908881,1741700301.515,1741700360.233,1741699772.876,1741699828.646
1,rinse mouth,-3.7293197856578075,1741700360.73,1741700376.532,1741699772.876,1741699828.646
2,brush teeth,9.849320921568719,1741947901.015,1741947969.972,1741947415.027,1741947484.117
3,rinse mouth,9.974613822553948,1741947970.949,1741947992.018,1741947415.027,1741947484.117
