activity,t_start,t_end,duration_sec
level walking,1741700911.087,1741700948.933,37.84600019454956
slope walking,1741700963.626,1741701004.82,41.194000005722046
level walking,1741948660.513,1741948713.146,52.632999897003174
slope walking,1741948720.303,1741948763.037,42.73399996757507
