activity,t_start,t_end,duration_sec
sit to lying,1741699760.97,1741699775.428,14.45799994468689
sit to stand,1741699991.305,1741700004.853,13.547999858856201
stand to sit,1741700019.944,1741700024.564,4.619999885559082
sit to lying,1741947409.543,1741947415.443,5.900000095367432
sit to stand,1741947633.326,1741947637.301,3.9750001430511475
stand to sit,1741947687.158,1741947691.266,4.108000040054321
