activity_idx,activity_type,activity_name,activity_t_start,activity_t_end,activity_duration_sec,baseline_t_start,baseline_t_end,baseline_duration_sec,time_gap_sec,delta_mean_hr,pct_mean_hr,delta_rmssd,pct_rmssd,delta_sdnn,pct_sdnn,delta_stress_index,pct_stress_index,delta_mean_rr_ms,pct_mean_rr_ms,delta_n_beats,pct_n_beats
0,standing,sit to stand,1741699991.305,1741700004.853,13.547999858856201,1741699772.876,1741699828.646,55.769999980926514,162.65900015830994,-22.87647860061653,-30.16333938294011,-2426.3614256698806,-84.24028262843221,-1758.358996724769,-79.82123305939129,1.6717295443410087,5.565296818548813,-795.7589285714287,-41.261574074074076,-9.0,-47.368421052631575
1,standing,stand,1741699999.488,1741700021.069,21.581000089645386,1741699772.876,1741699828.646,55.769999980926514,170.8420000076294,-19.295811103040016,-25.442119354611425,-1778.3638340265718,-61.74260372327694,-1431.224401682892,-64.97086018259785,-5.232905982905979,-17.420685730544875,-536.8303571428573,-27.835648148148156,-8.0,-42.10526315789473
2,standing,stand,1741700026.304,1741700052.31,26.00600004196167,1741699772.876,1741699828.646,55.769999980926514,197.6579999923706,-17.47594137714467,-23.042565247825074,-1795.7324510967092,-62.3456207327686,-1361.0308754800444,-61.784404046658395,-2.754677754677754,-9.170502128248605,-498.39564732142867,-25.842737268518523,-7.0,-36.84210526315789
3,standing,stand,1741947636.803,1741947659.529,22.7260000705719,1741947415.027,1741947484.117,69.09000015258789,152.6859998703003,13.224526465523695,15.54054054054054,0.2160557065513764,2.0552908575865025,-18.38982255092871,-47.57123822024093,118.79710144927532,58.70304723027891,-94.83506944444446,-13.45029239766082,-60.0,-62.5
4,standing,stand,1741947666.205,1741947690.007,23.802000045776367,1741947415.027,1741947484.117,69.09000015258789,182.08799982070923,16.092236280601938,18.91047297297298,0.6088218678278672,5.791589765520969,-14.030619862838495,-36.29474716377983,109.96376811594206,54.338095749632984,-112.1294070512821,-15.903118119184608,-57.0,-59.375
