activity_idx,activity_type,activity_name,activity_t_start,activity_t_end,activity_duration_sec,baseline_t_start,baseline_t_end,baseline_duration_sec,time_gap_sec,delta_mean_hr,pct_mean_hr,delta_rmssd,pct_rmssd,delta_sdnn,pct_sdnn,delta_stress_index,pct_stress_index,delta_mean_rr_ms,pct_mean_rr_ms,delta_n_beats,pct_n_beats
1,transfer,sit to stand,1741699991.305,1741700004.853,13.547999858856201,1741699772.876,1741699828.646,55.769999980926514,162.65900015830994,-22.87647860061653,-30.16333938294011,-2426.3614256698806,-84.24028262843221,-1758.358996724769,-79.82123305939129,1.6717295443410087,5.565296818548813,-795.7589285714287,-41.261574074074076,-9.0,-47.368421052631575
2,transfer,stand to sit,1741700019.944,1741700024.564,4.619999885559082,1741699772.876,1741699828.646,55.769999980926514,191.29800009727478,1.5383568028404397,2.0283706747978387,-2720.050800224871,-94.43681627578421,-2054.588027085467,-93.26863857522858,,,-1153.1808035714287,-59.79456018518518,-15.0,-78.94736842105263
3,transfer,sit to lying,1741947409.543,1741947415.443,5.900000095367432,1741699772.876,1741699828.646,55.769999980926514,247580.8970000744,23.73661031683723,31.29744945832979,-2780.1504970581036,-96.52340378642963,-2146.0049766460183,-97.41853836818512,,,-1326.0323660714287,-68.7572337962963,-11.0,-57.89473684210527
4,transfer,sit to stand,1741947633.326,1741947637.301,3.9750001430511475,1741947415.027,1741947484.117,69.09000015258789,149.20899987220764,,,,,,,,,,,-96.0,-100.0
5,transfer,stand to sit,1741947687.158,1741947691.266,4.108000040054321,1741947415.027,1741947484.117,69.09000015258789,203.04099988937378,17.99029541356039,21.14093959731543,0.5363716262537572,5.1023864044341245,-30.463620198224753,-78.80403029922151,,,-123.046875,-17.451523545706372,-90.0,-93.75
