activity_idx,activity_name,t_start,t_end,duration_sec,mean_hr,rmssd,sdnn,mean_rr_ms,stress_index,n_beats,HR__abs_energy,HR__maximum,HR__root_mean_square,HR_1st_deriv__abs_energy,HR_1st_deriv__maximum,HR_1st_deriv__minimum,HR_1st_deriv__number_peaks__n_1,HR_1st_deriv__root_mean_square,HR_2nd_deriv__abs_energy,HR_2nd_deriv__maximum,HR_2nd_deriv__minimum,HR_2nd_deriv__root_mean_square,HRV_MinNN,HRV_SDRMSSD,HRV_LFn,HRV_TINN,EDA_MAVFD,EDA_Phasic__number_peaks__n_1,EDA_Phasic__number_peaks__n_5,EDA_Range,EDA_Sympathetic,EDA_Tonic_SD
0,sit to stand,1740481738.516,1740481763.146,24.62999987602234,91.37328675087342,12.374368670764582,13.248490153579047,656.6470588235294,661.5204081632653,17,,,,,,,,,,,,,638.0,1.1035901252121578,,0.0,1.3550488599348534,25.0,21.0,379.0,,82.96537193061144
1,stand,1740481784.013,1740481804.484,20.47099995613098,86.02150537634408,18.433664855367205,22.081289213570237,697.5,,6,,,,,,,,,,,,,662.0,1.3122100565419013,,0.0,0.48336594911937375,30.0,24.0,221.0,,48.45244707619119
2,stand,1740481815.935,1740481836.37,20.43499994277954,87.20930232558139,85.21233981732257,61.94150466367442,688.0,,8,,,,,,,,,,,,,638.0,0.77709700251524,,0.0,0.47058823529411764,36.0,30.0,171.0,,37.61980951326259
3,sit to stand,1740738903.602,1740738916.289,12.687000036239624,83.7404047452896,5.0,2.692582403567252,716.5,,4,,,,,,,,,,,,,712.0,0.6218252702059209,,0.0,2.2341772151898733,1.0,1.0,433.0,,22.331070869618923
4,stand,1740738915.228,1740738937.508,22.27999997138977,83.66533864541833,21.17781858454737,21.820230268711462,717.1428571428571,,7,,,,,,,,,,,,,680.0,1.112888104964784,,0.0,0.30755395683453235,33.0,20.0,167.0,,28.72651275883231
5,stand,1740738944.382,1740738966.213,21.831000089645386,87.0265914585012,17.68349180317454,12.720159949301049,689.4444444444445,788.4545454545454,18,,,,,,,,,,,,,667.0,0.7401782832392579,,0.0,0.24036697247706423,33.0,22.0,121.0,,27.575367044876902
6,stand to sit,1740738965.781,1740738990.577,24.796000003814697,82.17569947172765,21.744731162590476,24.268901743522196,730.1428571428571,,7,,,,,,,,,,,,,707.0,1.2055062753584056,,0.0,1.8449111470113086,20.0,15.0,403.0,,91.44614092931184
