activity,t_start,t_end,duration_sec
level walking,1740482585.279,1740482626.822,41.54299998283386
slope walking,1740482634.195,1740482671.529,37.33400011062622
slope walking,1740739846.939,1740739864.062,17.123000144958496
level walking,1740739863.55,1740739909.399,45.848999977111816
slope walking,1740739918.345,1740739977.212,58.86699986457825
