activity,t_start,t_end,duration_sec
brush teeth,1740482094.937,1740482155.332,60.394999980926514
rinse mouth,1740482158.652,1740482171.636,12.983999967575073
put toothpaste,1740739293.633,1740739307.433,13.800000190734863
brush teeth,1740739306.916,1740739361.715,54.79900002479553
rinse mouth,1740739362.337,1740739382.697,20.360000133514404
