activity_idx,activity_name,hr_differential,activity_t_start,activity_t_end,baseline_t_start,baseline_t_end
0,sit to stand,16.591400585522365,1740481738.516,1740481763.146,1740481514.22,1740481538.339
1,stand,11.239619210993027,1740481784.013,1740481804.484,1740481514.22,1740481538.339
2,stand,12.427416160230337,1740481815.935,1740481836.37,1740481514.22,1740481538.339
3,sit to stand,17.9047779577444,1740738903.602,1740738916.289,1740738705.842,1740738770.792
4,stand,17.829711857873136,1740738915.228,1740738937.508,1740738705.842,1740738770.792
5,stand,21.190964670956006,1740738944.382,1740738966.213,1740738705.842,1740738770.792
6,stand to sit,16.34007268418246,1740738965.781,1740738990.577,1740738705.842,1740738770.792
