activity_idx,activity_type,activity_name,activity_t_start,activity_t_end,activity_duration_sec,baseline_t_start,baseline_t_end,baseline_duration_sec,time_gap_sec,delta_mean_hr,pct_mean_hr,delta_rmssd,pct_rmssd,delta_sdnn,pct_sdnn,delta_stress_index,pct_stress_index,delta_mean_rr_ms,pct_mean_rr_ms,delta_n_beats,pct_n_beats
0,bed_transfer,turn over (right),1740481539.284,1740481638.435,99.15100002288818,1740481514.22,1740481538.339,24.11899995803833,0.9449999332427979,3.766165009894408,5.036199543786577,-0.0055860948844213,-0.031933578971668646,3.55785840067891,7.575677082816935,-34.46524064171126,-15.531056087716141,-38.469696969697,-4.794727499339052,64.0,266.66666666666663
1,bed_transfer,turn over (left),1740481639.878,1740481711.166,71.28799986839294,1740481514.22,1740481538.339,24.11899995803833,101.53900003433228,8.109839096005317,10.844657057824888,105.75283389526238,604.548712928275,52.241811848584426,111.23745023428562,-178.4333657224008,-80.4073483705981,-78.497512437811,-9.783653398979352,43.0,179.16666666666669
2,bed_transfer,turn over (right),1740738772.25,1740738831.994,59.74399995803833,1740738705.842,1740738770.792,64.95000004768372,1.4579999446868896,9.04403090544821,13.737289894168917,2.8663885046607156,14.145449966353315,1.7610672860683252,6.091013538519661,-90.40977443609023,-26.250641284533856,-110.07494145199064,-12.078087940156907,-40.0,-65.57377049180327
3,bed_transfer,turn over (left),1740738832.542,1740738896.114,63.57200002670288,1740738705.842,1740738770.792,64.95000004768372,61.75,11.82907594410986,17.967590681991787,33.23064695897257,163.99118721812525,26.71031028322835,92.38310361009835,-150.3576911027569,-43.6566271526239,-138.80893159977393,-15.230955025967674,-32.0,-52.459016393442624
