activity,t_start,t_end,duration_sec
turn over (right),1740481539.284,1740481638.435,99.15100002288818
turn over (left),1740481639.878,1740481711.166,71.28799986839294
turn over (right),1740738772.25,1740738831.994,59.74399995803833
turn over (left),1740738832.542,1740738896.114,63.57200002670288
