activity_idx,activity_name,t_start,t_end,duration_sec,mean_hr,rmssd,sdnn,mean_rr_ms,stress_index,n_beats,HR__abs_energy,HR__maximum,HR__root_mean_square,HR_1st_deriv__abs_energy,HR_1st_deriv__maximum,HR_1st_deriv__minimum,HR_1st_deriv__number_peaks__n_1,HR_1st_deriv__root_mean_square,HR_2nd_deriv__abs_energy,HR_2nd_deriv__maximum,HR_2nd_deriv__minimum,HR_2nd_deriv__root_mean_square,HRV_MinNN,HRV_SDRMSSD,HRV_LFn,HRV_TINN,EDA_MAVFD,EDA_Phasic__number_peaks__n_1,EDA_Phasic__number_peaks__n_5,EDA_Range,EDA_Sympathetic,EDA_Tonic_SD
0,level walking,1740482585.279,1740482626.822,41.54299998283386,,,,,,,,,,,,,,,,,,,,,,,1.4354527938342967,78.0,66.0,266.0,,58.923489301764036
1,slope walking,1740482634.195,1740482671.529,37.33400011062622,,,,,,,,,,,,,,,,,,,,,,,1.555793991416309,67.0,56.0,221.0,,36.899893350110915
2,slope walking,1740739846.939,1740739864.062,17.123000144958496,122.82686546114569,22.562353330561823,40.144027455048594,488.4924790251204,204.50000000000003,16.0,246537.0,140.0,124.13123096143049,544.0,16.0,-10.0,3.0,6.022181221672648,690.0,16.0,-15.0,7.020378500174637,428.57142857142856,1.8375996806739132,,0.0,3.477751756440281,20.0,17.0,404.0,,48.28266012992423
3,level walking,1740739863.55,1740739909.399,45.848999977111816,112.07350148955436,32.43040890137745,94.92375270227882,535.3629466604308,74.55128205128204,46.0,640677.0,167.0,118.01593481206349,2952.0,20.0,-15.0,9.0,8.099382692526634,1463.0,16.0,-14.0,5.766281297335398,359.2814371257485,2.9593418350547305,,0.0,3.519650655021834,56.0,52.0,381.0,,91.87626983353591
4,slope walking,1740739918.345,1740739977.212,58.86699986457825,90.78776194181438,17.30909971747675,48.90109577520562,660.882025470061,169.33333333333331,58.0,488443.0,123.0,91.76835530008566,535.0,12.0,-11.0,7.0,3.063652217906057,329.0,6.0,-10.0,2.4238399287081647,487.8048780487805,2.8498413259631796,0.0409446062109979,0.0,2.3503401360544216,87.0,70.0,370.0,,86.01851972942825
