activity_idx,activity_name,hr_differential,activity_t_start,activity_t_end,baseline_t_start,baseline_t_end
0,wash hands,,1740482055.652,1740482067.624,1740481514.22,1740481538.339
1,wash hands,,1740739224.778,1740739285.35,1740738705.842,1740738770.792
