activity_idx,activity_name,hr_differential,activity_t_start,activity_t_end,baseline_t_start,baseline_t_end
0,style beard/hair,,1740482198.866,1740482235.109,1740481514.22,1740481538.339
1,style beard/hair,,1740739424.051,1740739483.181,1740738705.842,1740738770.792
