activity_idx,activity_name,t_start,t_end,duration_sec,mean_hr,rmssd,sdnn,mean_rr_ms,stress_index,n_beats,HR__abs_energy,HR__maximum,HR__root_mean_square,HR_1st_deriv__abs_energy,HR_1st_deriv__maximum,HR_1st_deriv__minimum,HR_1st_deriv__number_peaks__n_1,HR_1st_deriv__root_mean_square,HR_2nd_deriv__abs_energy,HR_2nd_deriv__maximum,HR_2nd_deriv__minimum,HR_2nd_deriv__root_mean_square,HRV_MinNN,HRV_SDRMSSD,HRV_LFn,HRV_TINN,EDA_MAVFD,EDA_Phasic__number_peaks__n_1,EDA_Phasic__number_peaks__n_5,EDA_Range,EDA_Sympathetic,EDA_Tonic_SD
0,turn over (right),1740481539.284,1740481638.435,99.15100002288818,78.54805117524546,17.48726958965148,50.522088287784364,763.8636363636364,187.44652406417111,88,,,,,,,,,,,,,673.0,2.905634596574216,0.0056804884654801605,0.0,1.4699232943076301,140.0,114.0,1217.0,2901.0602968972735,372.1339711459775
1,turn over (left),1740481639.878,1740481711.166,71.28799986839294,82.89172526135637,123.24568957979828,99.20604173568988,723.8358208955224,43.478398983481576,67,,,,,,,,,,,,,645.0,0.8110204709129243,0.027965253196374613,0.0,4.529477821448625,31.0,21.0,2064.0,13382.791775244901,568.5628641785567
2,turn over (right),1740738772.25,1740738831.994,59.74399995803833,74.8796576929934,23.130067012440755,30.673616485496456,801.2857142857143,254.0,21,,,,,,,,,,,,,741.0,1.3588851159477977,,0.0,6.849195710455764,28.0,18.0,1453.0,,388.79580781469116
3,turn over (left),1740738832.542,1740738896.114,63.57200002670288,77.66470273165505,53.49432546675261,55.62285948265648,772.551724137931,194.05208333333334,29,,,,,,,,,,,,,701.0,1.0581946928424262,,0.0,8.809943360604153,29.0,24.0,2028.0,,448.5305249399222
