activity_idx,activity_type,activity_name,activity_t_start,activity_t_end,activity_duration_sec,baseline_t_start,baseline_t_end,baseline_duration_sec,time_gap_sec,delta_mean_hr,pct_mean_hr,delta_rmssd,pct_rmssd,delta_sdnn,pct_sdnn,delta_stress_index,pct_stress_index,delta_mean_rr_ms,pct_mean_rr_ms,delta_n_beats,pct_n_beats
0,standing,sit to stand,1740481738.516,1740481763.146,24.62999987602234,1740481514.22,1740481538.339,24.11899995803833,200.17700004577637,16.591400585522365,22.186389560751294,-5.118487013771318,-29.26044269773621,-33.715739733526405,-71.79025359209272,439.6086434573829,198.10064781379745,-145.68627450980398,-18.157823993743744,-7.0,-29.166666666666668
1,standing,stand,1740481784.013,1740481804.484,20.47099995613098,1740481514.22,1740481538.339,24.11899995803833,245.67400002479553,11.239619210993027,15.029868578255675,0.9408091708313044,5.378248056222187,-24.882940673535217,-52.982750347125574,,,-104.83333333333337,-13.0660573327794,-18.0,-75.0
2,standing,stand,1740481815.935,1740481836.37,20.43499994277954,1740481514.22,1740481538.339,24.11899995803833,277.595999956131,12.427416160230337,16.618217054263567,67.71948413278668,387.1265238451164,14.977274776568969,31.89081309876039,,,-114.33333333333337,-14.25010386373079,-16.0,-66.66666666666666
3,standing,sit to stand,1740738903.602,1740738916.289,12.687000036239624,1740738705.842,1740738770.792,64.95000004768372,132.80999994277954,17.9047779577444,27.196183634013238,-15.263678507780039,-75.32530928143032,-26.21996679586088,-90.68714977363356,,,-194.86065573770497,-21.38128901120645,-57.0,-93.44262295081968
4,standing,stand,1740738915.228,1740738937.508,22.27999997138977,1740738705.842,1740738770.792,64.95000004768372,144.4359998703003,17.829711857873136,27.082163150675992,0.9141400767673318,4.511224733536691,-7.092318930716669,-24.530244226465335,,,-194.21779859484786,-21.31075083964837,-54.0,-88.52459016393442
5,standing,stand,1740738944.382,1740738966.213,21.831000089645386,1740738705.842,1740738770.792,64.95000004768372,173.5899999141693,21.190964670956006,32.18768576372834,-2.5801867046054987,-12.733061786461237,-16.192389250127082,-56.004709714241855,444.04477101845515,128.92920119514596,-221.91621129326052,-24.3499881080152,-43.0,-70.49180327868852
6,standing,stand to sit,1740738965.781,1740738990.577,24.796000003814697,1740738705.842,1740738770.792,64.95000004768372,194.9889998435974,16.34007268418246,24.819498927097143,1.481052654810437,7.308903239072814,-4.643647455905935,-16.06101013049995,,,-181.21779859484786,-19.88431225925156,-54.0,-88.52459016393442
