activity_idx,activity_type,activity_name,activity_t_start,activity_t_end,activity_duration_sec,baseline_t_start,baseline_t_end,baseline_duration_sec,time_gap_sec,delta_mean_hr,pct_mean_hr,delta_rmssd,pct_rmssd,delta_sdnn,pct_sdnn,delta_stress_index,pct_stress_index,delta_mean_rr_ms,pct_mean_rr_ms,delta_n_beats,pct_n_beats
0,dental_care,brush teeth,1740482094.937,1740482155.332,60.394999980926514,1740481514.22,1740481538.339,24.11899995803833,556.5980000495911,,,,,,,,,,,,
1,dental_care,rinse mouth,1740482158.652,1740482171.636,12.983999967575073,1740481514.22,1740481538.339,24.11899995803833,620.3129999637604,,,,,,,,,,,,
2,dental_care,put toothpaste,1740739293.633,1740739307.433,13.800000190734863,1740738705.842,1740738770.792,64.95000004768372,522.8409998416901,,,,,,,,,,,,
3,dental_care,brush teeth,1740739306.916,1740739361.715,54.79900002479553,1740738705.842,1740738770.792,64.95000004768372,536.1239998340607,,,,,,,,,,,,
4,dental_care,rinse mouth,1740739362.337,1740739382.697,20.360000133514404,1740738705.842,1740738770.792,64.95000004768372,591.5449998378754,,,,,,,,,,,,
