activity_idx,activity_name,hr_differential,activity_t_start,activity_t_end,baseline_t_start,baseline_t_end
0,brush teeth,,1740482094.937,1740482155.332,1740481514.22,1740481538.339
1,rinse mouth,,1740482158.652,1740482171.636,1740481514.22,1740481538.339
2,put toothpaste,,1740739293.633,1740739307.433,1740738705.842,1740738770.792
3,brush teeth,,1740739306.916,1740739361.715,1740738705.842,1740738770.792
4,rinse mouth,,1740739362.337,1740739382.697,1740738705.842,1740738770.792
